House_ID,Area_sqft,Bedrooms,Bathrooms,Floors,Parking,House_Age,Location,Furnishing,Main_Road,Air_Conditioning,Basement,Garden,Price
35,3767,3,4,3,3,21,West End,Semi-Furnished,Yes,Yes,No,Yes,23219192
36,1687,1,1,3,3,11,City Center,Semi-Furnished,Yes,No,Yes,No,11560942
37,3503,4,4,3,1,11,Lake View,Furnished,No,No,Yes,No,22699356
38,1866,6,6,2,3,22,Green Park,Unfurnished,Yes,Yes,No,No,14257419
39,3664,2,4,3,2,12,West End,Furnished,No,No,Yes,No,22484958
40,3084,6,6,2,3,14,Riverside,Unfurnished,No,Yes,Yes,No,20445290
41,3319,6,6,2,0,26,Riverside,Unfurnished,No,Yes,Yes,Yes,20816411
42,789,2,3,3,0,14,Lake View,Unfurnished,Yes,No,No,No,6806636
43,1204,6,6,1,0,24,Lake View,Furnished,Yes,No,Yes,Yes,10886053
44,2469,2,3,3,2,30,Hill View,Unfurnished,No,No,Yes,No,15230732
45,1661,2,4,2,3,20,Riverside,Semi-Furnished,No,Yes,No,Yes,11592113
46,1975,3,5,1,1,4,Riverside,Semi-Furnished,Yes,Yes,Yes,No,13915398
47,1955,5,6,2,0,6,Lake View,Semi-Furnished,Yes,No,No,Yes,14746845
48,1823,4,5,3,1,15,Riverside,Semi-Furnished,No,No,Yes,No,12992057
49,3339,6,6,3,1,26,Hill View,Furnished,Yes,No,Yes,Yes,22328771
50,2355,2,3,1,0,8,Lake View,Semi-Furnished,Yes,No,No,No,15660207
51,4203,4,5,2,2,26,Suburban,Semi-Furnished,Yes,Yes,No,Yes,25589325
52,881,6,6,1,1,6,Downtown,Unfurnished,Yes,Yes,Yes,No,9895178
53,1068,5,5,2,2,24,City Center,Furnished,Yes,Yes,No,Yes,10698394
54,705,3,5,3,3,12,Riverside,Furnished,Yes,Yes,No,Yes,8023423
55,3805,1,2,3,3,21,City Center,Furnished,No,Yes,No,No,22908665
56,2375,3,5,2,1,13,Uptown,Unfurnished,No,No,No,No,15862536
57,3026,3,4,1,0,8,Hill View,Furnished,No,No,No,Yes,19149517
58,4085,3,3,2,1,11,Green Park,Semi-Furnished,No,No,Yes,Yes,24183771
59,1588,6,6,2,1,22,Hill View,Unfurnished,No,No,Yes,Yes,12110128
60,1507,4,6,1,2,21,East Side,Semi-Furnished,No,No,No,No,10957300
61,3478,4,5,2,2,7,Suburban,Unfurnished,Yes,No,Yes,Yes,21310445
62,1486,6,6,2,2,3,Riverside,Semi-Furnished,Yes,No,Yes,No,11868035
63,3500,5,5,2,0,1,West End,Semi-Furnished,Yes,No,Yes,Yes,22403949
64,1764,4,5,2,2,5,Downtown,Semi-Furnished,No,Yes,Yes,No,14048433
65,903,5,6,3,0,4,Uptown,Unfurnished,No,Yes,Yes,Yes,9478781
66,3731,4,6,3,1,24,West End,Semi-Furnished,No,No,No,No,22619414
67,2929,5,5,3,0,30,Riverside,Unfurnished,Yes,No,Yes,Yes,18482316
68,1311,5,5,1,0,13,Hill View,Unfurnished,No,No,Yes,Yes,10185299
69,3495,3,5,2,0,21,Riverside,Semi-Furnished,Yes,No,Yes,Yes,21695094
70,1210,3,3,1,0,5,Green Park,Unfurnished,No,No,Yes,No,9314131
71,1845,6,6,2,3,14,Suburban,Unfurnished,Yes,No,No,No,12959121
72,974,2,4,3,0,24,Green Park,Unfurnished,Yes,Yes,No,No,7654468
73,1343,5,6,3,3,2,Hill View,Semi-Furnished,No,No,No,Yes,11226237
74,1950,4,6,2,2,21,Lake View,Unfurnished,Yes,No,Yes,No,14006659
75,1924,1,2,3,0,21,West End,Semi-Furnished,No,Yes,Yes,No,12479678
76,3698,4,6,2,0,6,Green Park,Unfurnished,Yes,No,No,No,22468924
77,718,6,6,1,1,9,West End,Furnished,No,Yes,Yes,Yes,8525463
78,4479,1,3,1,3,29,Green Park,Unfurnished,No,No,No,No,25004370
79,2470,5,5,2,1,29,East Side,Unfurnished,Yes,Yes,No,No,15958385
80,4426,5,6,1,2,23,Green Park,Unfurnished,No,Yes,No,No,26643088
81,1961,5,6,2,3,29,City Center,Furnished,Yes,No,Yes,No,14740967
82,1903,6,6,3,3,12,Uptown,Semi-Furnished,Yes,Yes,No,Yes,15151294
83,1008,5,6,1,1,13,Uptown,Furnished,No,No,No,No,9829003
84,928,3,5,3,3,30,City Center,Unfurnished,No,Yes,Yes,Yes,9107420
85,3403,3,3,3,0,13,Suburban,Unfurnished,Yes,No,Yes,No,19821953
86,788,3,3,2,2,11,Lake View,Furnished,Yes,No,Yes,Yes,8023173
87,923,5,6,3,1,15,East Side,Furnished,Yes,No,No,No,8727329
88,3331,1,2,2,1,2,Hill View,Semi-Furnished,No,No,No,No,19541997
89,1415,4,5,1,1,12,East Side,Semi-Furnished,No,No,Yes,No,10469813
90,633,5,6,3,0,29,East Side,Unfurnished,No,No,Yes,No,6319242
91,3207,2,4,2,1,20,Suburban,Unfurnished,Yes,No,No,Yes,19124127
92,2094,6,6,1,2,10,Lake View,Furnished,Yes,Yes,No,No,15911337
93,1652,4,5,3,2,25,Suburban,Semi-Furnished,Yes,Yes,Yes,No,12394784
94,2098,1,2,1,2,17,Suburban,Semi-Furnished,No,No,No,No,12327209
95,3364,2,3,1,2,29,East Side,Furnished,Yes,No,No,No,19583143
96,1172,1,1,2,3,3,Suburban,Furnished,Yes,No,No,No,8783455
97,4488,6,6,3,3,18,Uptown,Semi-Furnished,Yes,No,No,No,27657905
98,3427,3,3,2,3,30,Riverside,Semi-Furnished,Yes,No,No,Yes,20647879
99,1730,2,2,2,0,21,Riverside,Unfurnished,Yes,Yes,No,Yes,10950040
100,3823,5,5,1,1,18,Riverside,Furnished,No,Yes,Yes,No,23697316
101,1132,5,6,1,0,21,Downtown,Furnished,Yes,No,Yes,No,10254947
102,1313,3,3,1,3,16,Suburban,Unfurnished,Yes,No,No,No,9257769
103,3031,1,2,3,1,30,East Side,Furnished,No,No,Yes,Yes,18163448
104,4070,4,5,3,0,15,Hill View,Furnished,Yes,No,Yes,Yes,25016321
105,1726,5,6,3,2,12,East Side,Unfurnished,No,No,No,Yes,12965069
106,1068,6,6,3,1,13,Hill View,Furnished,No,No,No,No,10085796
107,3588,1,2,2,2,21,Green Park,Semi-Furnished,Yes,No,Yes,Yes,20929111
108,981,4,4,3,2,25,Uptown,Unfurnished,Yes,No,Yes,No,8561974
109,4178,6,6,3,0,30,Green Park,Unfurnished,No,No,Yes,Yes,25417846
110,3289,4,4,1,2,27,West End,Semi-Furnished,Yes,No,Yes,No,20305015
111,3743,5,6,3,0,19,Green Park,Furnished,Yes,No,No,No,23679674
112,625,2,2,3,3,2,Uptown,Unfurnished,Yes,Yes,Yes,No,6674226
113,2458,3,3,2,2,23,City Center,Unfurnished,Yes,Yes,Yes,Yes,16848683
114,3130,1,3,1,2,14,Lake View,Semi-Furnished,No,No,No,Yes,19555615
115,2698,1,2,2,0,9,East Side,Semi-Furnished,No,Yes,Yes,No,16526037
116,824,1,1,2,1,24,Uptown,Semi-Furnished,No,No,Yes,Yes,6764346
117,3659,4,4,1,3,17,Riverside,Unfurnished,No,Yes,No,Yes,22288209
118,676,4,4,2,3,18,Lake View,Unfurnished,No,No,Yes,No,6823069
119,1930,2,4,2,2,2,Lake View,Furnished,Yes,No,No,Yes,14104991
120,4165,3,5,2,1,10,Uptown,Furnished,Yes,Yes,No,No,26170712
121,3954,6,6,1,0,4,Green Park,Furnished,Yes,Yes,Yes,Yes,25927252
122,2623,4,6,3,3,21,East Side,Unfurnished,No,No,Yes,No,16673203
123,2520,4,6,2,2,18,Downtown,Semi-Furnished,Yes,No,No,No,17119434
124,833,3,4,1,0,19,East Side,Unfurnished,No,No,Yes,No,6809025
125,3269,2,3,3,3,16,Uptown,Furnished,No,Yes,No,Yes,20909857
126,3246,2,2,1,3,14,West End,Unfurnished,Yes,No,No,No,18883435
127,2274,3,5,3,0,25,City Center,Furnished,No,Yes,No,No,15799036
128,3564,6,6,1,2,2,East Side,Unfurnished,Yes,No,No,No,22062015
129,3037,6,6,2,3,20,City Center,Furnished,Yes,No,No,Yes,21052611
130,1865,2,2,2,3,6,Riverside,Furnished,Yes,Yes,No,Yes,13192351
131,3757,5,6,3,0,21,City Center,Unfurnished,Yes,No,Yes,Yes,23768030
132,4005,6,6,1,3,1,Lake View,Semi-Furnished,Yes,No,No,No,25623369
133,2787,2,3,2,1,11,East Side,Semi-Furnished,No,No,No,No,16584330
134,3945,2,4,1,2,1,Hill View,Semi-Furnished,Yes,Yes,No,Yes,23684099
135,1717,4,6,1,3,2,Riverside,Semi-Furnished,No,Yes,No,Yes,13078112
136,2656,3,3,2,0,11,Riverside,Furnished,No,Yes,No,Yes,16887483
137,756,3,4,3,1,24,Hill View,Semi-Furnished,Yes,Yes,Yes,No,7175330
138,4020,2,4,3,3,3,Green Park,Furnished,No,Yes,Yes,Yes,25120218
139,3217,5,6,1,0,26,Hill View,Unfurnished,Yes,Yes,Yes,No,20390489
140,606,5,6,1,3,5,Suburban,Unfurnished,No,Yes,Yes,No,7104172
141,778,6,6,2,2,23,Downtown,Semi-Furnished,Yes,No,Yes,Yes,9371769
142,3611,3,3,1,2,17,City Center,Unfurnished,Yes,No,No,Yes,21752603
143,858,6,6,1,2,6,Downtown,Furnished,Yes,No,No,No,9903008
144,2539,3,3,3,1,9,City Center,Furnished,No,No,Yes,No,17318976
145,4243,4,6,2,3,10,Uptown,Semi-Furnished,No,No,No,Yes,26686000
146,2338,1,2,3,1,17,Green Park,Semi-Furnished,Yes,Yes,No,No,14682984
147,2426,5,6,2,1,22,Hill View,Semi-Furnished,No,Yes,No,No,16417092
148,3219,1,1,3,3,11,West End,Unfurnished,Yes,Yes,Yes,No,18667289
149,1117,1,1,3,2,11,Lake View,Unfurnished,Yes,Yes,No,No,8520484
150,2418,1,3,1,2,12,City Center,Unfurnished,No,Yes,Yes,Yes,16099011
151,1362,4,6,2,0,8,Green Park,Unfurnished,No,Yes,No,No,10518302
152,1102,2,2,2,1,28,Hill View,Furnished,No,No,Yes,No,8210927
153,4087,2,4,3,1,25,City Center,Unfurnished,Yes,Yes,Yes,Yes,24700635
154,3837,4,4,2,2,14,West End,Furnished,Yes,Yes,No,No,24042159
155,3544,4,6,2,3,26,East Side,Furnished,Yes,No,Yes,No,22369261
156,3385,5,6,1,1,24,Uptown,Semi-Furnished,Yes,Yes,Yes,No,21712655
157,1263,3,5,1,2,30,West End,Semi-Furnished,Yes,No,Yes,No,9188850
158,3160,3,5,3,0,16,Uptown,Unfurnished,Yes,Yes,No,Yes,19683751
159,932,1,3,3,2,20,Riverside,Unfurnished,No,Yes,No,No,7339488
160,1837,4,4,3,3,9,Hill View,Furnished,Yes,Yes,No,No,13898174
161,2502,2,3,3,1,10,City Center,Unfurnished,No,No,Yes,No,16340395
162,2900,1,2,1,3,3,Green Park,Semi-Furnished,Yes,Yes,Yes,Yes,18110309
163,4472,4,6,2,1,30,Uptown,Semi-Furnished,No,Yes,Yes,No,27394128
164,2512,4,5,2,0,2,Lake View,Unfurnished,No,Yes,Yes,No,16847421
165,807,3,4,3,3,9,West End,Furnished,Yes,No,Yes,No,8277247
166,2098,4,5,1,3,1,East Side,Unfurnished,Yes,No,No,Yes,14286716
167,2665,4,6,2,0,4,Suburban,Semi-Furnished,No,No,No,Yes,17164727
168,3067,5,6,3,0,1,Downtown,Furnished,No,No,No,Yes,21406110
169,4258,5,5,2,2,5,Lake View,Unfurnished,No,No,No,No,26319560
170,3941,1,2,2,0,13,East Side,Semi-Furnished,Yes,No,No,Yes,22865642
171,810,5,6,1,3,4,Riverside,Furnished,Yes,Yes,Yes,No,8918930
172,2315,2,3,3,1,13,West End,Unfurnished,No,Yes,Yes,Yes,14962132
173,1931,6,6,3,3,10,Uptown,Semi-Furnished,No,No,No,No,14572803
174,1609,3,5,2,1,30,Green Park,Semi-Furnished,Yes,No,No,No,11372546
175,2895,6,6,2,0,18,West End,Semi-Furnished,No,No,Yes,No,18574109
176,1778,6,6,2,3,20,Green Park,Unfurnished,No,Yes,Yes,No,13794918
177,3451,3,3,1,1,7,Downtown,Unfurnished,Yes,Yes,Yes,Yes,21832577
178,1952,6,6,1,1,0,West End,Furnished,No,No,No,Yes,14983030
179,1776,3,4,3,0,29,Suburban,Unfurnished,Yes,Yes,Yes,No,11657527
180,4425,1,2,2,1,29,Green Park,Furnished,Yes,No,Yes,No,25406384
181,2461,6,6,3,3,28,Uptown,Unfurnished,No,No,Yes,Yes,17179947
182,1265,6,6,3,2,22,Uptown,Furnished,No,No,Yes,Yes,11872632
183,4106,6,6,2,2,2,Lake View,Unfurnished,Yes,Yes,Yes,No,26384520
184,4433,2,2,2,3,7,Hill View,Semi-Furnished,No,No,Yes,No,26161036
185,2072,6,6,1,0,14,Green Park,Furnished,No,No,Yes,No,15187797
186,3117,2,2,1,3,4,Hill View,Unfurnished,No,No,No,Yes,19035267
187,1613,6,6,1,3,16,City Center,Furnished,Yes,Yes,Yes,Yes,13822129
188,1943,5,6,1,1,22,East Side,Semi-Furnished,Yes,No,Yes,No,13415953
189,2702,4,5,3,0,17,Hill View,Unfurnished,No,Yes,No,No,16957561
190,3654,2,4,1,0,13,City Center,Unfurnished,Yes,Yes,Yes,No,21970076
191,1775,4,4,1,3,11,Lake View,Semi-Furnished,No,No,Yes,Yes,13657280
192,4123,3,3,1,3,16,Uptown,Unfurnished,Yes,Yes,Yes,No,24847094
193,3358,6,6,2,3,26,Riverside,Furnished,No,No,Yes,No,21661236
194,4439,6,6,1,3,19,Downtown,Furnished,Yes,Yes,Yes,Yes,28858927
195,3048,6,6,1,1,23,Downtown,Semi-Furnished,No,Yes,Yes,Yes,20652542
196,2663,3,3,3,2,18,East Side,Unfurnished,No,Yes,No,Yes,16895882
197,2735,2,3,2,2,1,West End,Unfurnished,Yes,No,No,Yes,16775145
198,4456,6,6,2,2,22,Lake View,Semi-Furnished,Yes,No,No,Yes,28316262
199,2803,4,4,1,2,27,Uptown,Semi-Furnished,Yes,No,No,Yes,18066886
200,1594,3,3,2,0,29,Hill View,Semi-Furnished,Yes,Yes,Yes,No,11222289
201,3359,5,6,1,0,6,East Side,Unfurnished,Yes,No,Yes,No,20856715
202,4323,1,1,1,0,23,Hill View,Furnished,Yes,No,Yes,No,24492409
203,2159,4,6,3,2,9,Green Park,Semi-Furnished,No,No,Yes,No,15763425
204,4039,3,3,2,2,13,Downtown,Unfurnished,Yes,Yes,Yes,No,24988989
205,4428,5,6,3,3,9,Uptown,Furnished,No,Yes,No,Yes,28347155
206,2855,6,6,2,2,24,Hill View,Unfurnished,No,No,Yes,No,18471487
207,1173,6,6,2,1,29,West End,Unfurnished,Yes,Yes,Yes,Yes,9674293
208,2289,2,4,1,0,22,Uptown,Furnished,Yes,No,No,Yes,15344647
209,3212,6,6,2,3,0,Downtown,Unfurnished,No,Yes,Yes,No,22184162
210,1774,1,3,3,3,25,Uptown,Furnished,Yes,Yes,Yes,Yes,13124687
211,2756,3,4,2,3,2,City Center,Semi-Furnished,No,Yes,Yes,No,19022469
212,3991,1,3,3,0,2,Lake View,Semi-Furnished,No,No,Yes,Yes,24434186
213,1301,1,2,2,2,18,Suburban,Unfurnished,Yes,Yes,Yes,No,8685463
214,790,1,3,2,0,5,City Center,Furnished,Yes,Yes,No,Yes,7761814
215,1265,5,5,3,3,21,West End,Semi-Furnished,No,Yes,Yes,No,10266304
216,1000,4,4,1,2,19,East Side,Unfurnished,No,No,Yes,No,7980436
217,2609,2,3,3,3,13,Uptown,Unfurnished,No,Yes,No,Yes,17150548
218,901,1,2,1,3,22,Uptown,Unfurnished,No,No,No,Yes,6535166
219,621,3,4,2,2,3,Uptown,Furnished,Yes,No,No,No,6873510
220,707,1,2,3,0,19,East Side,Semi-Furnished,No,Yes,No,No,5711037
221,3791,1,3,3,1,18,West End,Furnished,No,Yes,Yes,No,22474959
222,1699,4,4,1,1,13,Green Park,Semi-Furnished,No,No,Yes,No,12074726
223,4467,2,4,3,3,19,East Side,Furnished,No,Yes,Yes,No,26223496
224,4486,4,5,3,3,25,City Center,Semi-Furnished,No,No,Yes,No,27523441
225,3070,6,6,2,2,5,Lake View,Semi-Furnished,No,No,Yes,No,20948322
226,1748,4,5,1,1,18,West End,Furnished,Yes,No,Yes,No,12561082
227,4004,6,6,2,3,4,Green Park,Furnished,No,Yes,No,No,25566358
228,2439,5,6,3,3,17,West End,Unfurnished,No,Yes,No,Yes,16351482
229,3749,2,4,3,2,5,East Side,Furnished,No,No,No,Yes,22375860
230,1003,3,3,3,1,14,City Center,Semi-Furnished,No,Yes,No,Yes,9209822
231,1028,3,4,1,0,26,Uptown,Semi-Furnished,No,No,No,Yes,8464028
232,2578,3,4,1,3,23,Hill View,Semi-Furnished,Yes,No,Yes,Yes,16305282
233,4078,3,5,1,1,29,Riverside,Unfurnished,Yes,Yes,No,No,23978098
234,1549,4,6,1,1,20,Lake View,Semi-Furnished,Yes,Yes,No,No,12242523
235,618,6,6,1,2,24,Suburban,Unfurnished,Yes,Yes,No,No,6618247
236,2474,1,2,3,3,16,City Center,Unfurnished,No,No,Yes,No,15665882
237,4063,4,6,1,2,29,East Side,Unfurnished,Yes,Yes,No,Yes,24185761
238,1850,1,1,2,1,16,Lake View,Semi-Furnished,Yes,No,No,Yes,12352310
239,3203,5,6,3,1,17,Uptown,Semi-Furnished,No,Yes,Yes,No,21332508
240,3137,1,2,1,3,4,Riverside,Semi-Furnished,No,No,No,No,18885038
241,4040,4,5,1,0,18,Downtown,Furnished,No,Yes,No,Yes,25667723
242,1782,2,3,3,3,17,West End,Furnished,Yes,No,No,Yes,12777322
243,3544,4,6,1,3,3,Riverside,Semi-Furnished,Yes,No,No,No,21936008
244,2398,1,1,1,2,27,East Side,Unfurnished,No,Yes,Yes,Yes,13960595
245,3899,1,3,2,2,19,West End,Furnished,No,No,No,No,22782203
246,4287,6,6,1,3,29,Downtown,Semi-Furnished,Yes,Yes,Yes,Yes,27866351
247,1919,2,4,2,3,4,East Side,Unfurnished,No,No,No,No,12165984
248,3195,1,2,3,2,22,City Center,Semi-Furnished,No,No,Yes,Yes,20064437
249,2477,6,6,3,2,27,Suburban,Unfurnished,No,Yes,No,Yes,16833146
250,1699,3,4,2,1,18,Hill View,Semi-Furnished,Yes,Yes,Yes,No,11857872
251,1108,2,3,2,0,30,Lake View,Furnished,Yes,No,Yes,No,8679474
252,3281,3,4,1,2,21,Uptown,Furnished,No,No,Yes,No,20920526
253,973,6,6,1,1,15,Suburban,Furnished,Yes,No,Yes,Yes,9738986
254,2007,1,2,3,1,15,Suburban,Furnished,No,Yes,Yes,Yes,13134972
255,2105,3,3,2,1,20,Uptown,Furnished,Yes,Yes,No,No,14913524
256,1472,6,6,1,3,19,Hill View,Furnished,Yes,Yes,Yes,Yes,12880613
257,3590,4,5,2,2,25,Uptown,Furnished,No,Yes,Yes,No,23292016
258,709,6,6,1,1,23,Lake View,Semi-Furnished,Yes,Yes,No,No,8031020
259,1587,4,6,3,0,16,Downtown,Semi-Furnished,No,Yes,No,No,12737562
260,2837,6,6,2,0,0,East Side,Furnished,Yes,No,Yes,Yes,19115806
261,4485,4,6,2,3,13,Lake View,Furnished,Yes,No,Yes,No,27840860
262,2694,2,2,3,2,12,East Side,Unfurnished,Yes,No,No,Yes,15953518
263,1601,1,2,1,3,19,East Side,Furnished,No,Yes,Yes,Yes,11355487
264,1162,6,6,1,3,30,City Center,Unfurnished,No,Yes,No,Yes,10958597
265,3799,3,5,1,0,10,Lake View,Semi-Furnished,Yes,No,Yes,No,23602109
266,2692,3,3,2,1,11,Uptown,Semi-Furnished,Yes,Yes,Yes,Yes,17446577
267,4117,1,1,1,3,11,Lake View,Furnished,Yes,Yes,No,Yes,24667833
268,1616,4,6,2,2,26,Suburban,Unfurnished,No,Yes,Yes,Yes,11649226
269,3894,5,5,2,0,28,Hill View,Semi-Furnished,No,No,Yes,No,23323156
270,2111,2,3,3,2,23,East Side,Furnished,No,No,No,Yes,14111243
271,4288,5,5,1,0,29,Lake View,Furnished,Yes,No,Yes,No,26127133
272,3708,6,6,3,2,3,Riverside,Unfurnished,Yes,No,No,Yes,23346889
273,3514,3,3,1,1,28,West End,Semi-Furnished,No,No,Yes,Yes,20928779
274,1146,6,6,1,0,13,Uptown,Furnished,No,No,No,No,10759964
275,4007,6,6,2,3,8,Riverside,Furnished,Yes,Yes,Yes,Yes,25773190
276,1273,4,5,2,3,3,West End,Semi-Furnished,Yes,No,No,No,10153480
277,4091,1,1,1,2,26,East Side,Furnished,Yes,No,Yes,Yes,23760902
278,1616,3,4,3,0,21,Green Park,Semi-Furnished,Yes,Yes,No,No,11888159
279,3664,5,5,1,3,3,Uptown,Furnished,Yes,Yes,Yes,Yes,24026557
280,3973,4,5,3,0,18,East Side,Semi-Furnished,Yes,Yes,Yes,Yes,24702966
281,2416,2,2,2,0,1,Hill View,Furnished,Yes,No,No,No,15076114
282,2167,6,6,1,2,6,Uptown,Semi-Furnished,No,No,Yes,Yes,16314337
283,3136,5,5,3,2,15,Lake View,Unfurnished,No,Yes,Yes,No,20758820
284,1162,4,4,3,1,20,West End,Furnished,No,No,No,No,9313145
285,4338,5,6,2,3,8,Uptown,Furnished,No,Yes,Yes,No,27345037
286,3912,4,6,2,1,5,Suburban,Furnished,Yes,No,Yes,Yes,24696056
287,4067,4,5,1,1,7,East Side,Semi-Furnished,No,Yes,No,Yes,24872862
288,4484,2,3,3,2,5,Hill View,Furnished,Yes,Yes,Yes,Yes,26807696
289,2756,4,4,2,1,25,Uptown,Semi-Furnished,Yes,No,Yes,Yes,17816087
290,3002,6,6,1,2,30,Suburban,Semi-Furnished,No,Yes,No,No,19238673
291,1158,2,4,2,3,20,City Center,Furnished,No,Yes,Yes,No,10043327
292,3606,6,6,1,1,23,Downtown,Unfurnished,No,Yes,Yes,No,23598279
293,1504,6,6,1,3,4,City Center,Unfurnished,Yes,Yes,No,No,12544842
294,3205,1,3,3,2,14,Downtown,Semi-Furnished,Yes,Yes,Yes,No,20243125
295,3823,1,3,1,0,12,Hill View,Unfurnished,No,Yes,No,No,21920708
296,2038,5,6,1,3,25,East Side,Unfurnished,Yes,Yes,No,Yes,13852635
297,1807,1,2,2,0,2,City Center,Furnished,No,Yes,Yes,Yes,13044766
298,3033,5,6,3,0,13,Uptown,Unfurnished,No,Yes,Yes,Yes,20154777
299,1441,2,3,3,2,21,Green Park,Semi-Furnished,Yes,Yes,Yes,No,10924744
300,2851,4,4,1,2,0,Lake View,Furnished,No,No,Yes,Yes,19002185
301,1447,2,4,2,0,15,Suburban,Semi-Furnished,No,No,No,No,9509963
302,3229,5,6,1,2,28,Lake View,Semi-Furnished,Yes,No,Yes,No,21157901
303,2504,3,3,2,0,4,Suburban,Furnished,No,No,Yes,Yes,16214710
304,3952,5,6,3,3,18,Riverside,Semi-Furnished,No,Yes,No,Yes,25012891
305,2939,5,6,3,1,3,Hill View,Furnished,Yes,Yes,Yes,Yes,20033548
306,2334,1,3,2,1,26,Uptown,Unfurnished,No,No,Yes,Yes,14525751
307,2878,4,6,2,2,16,Hill View,Furnished,No,Yes,No,Yes,19032998
308,2920,5,6,1,0,18,Suburban,Semi-Furnished,No,No,No,No,18696594
309,2588,5,6,2,0,5,Green Park,Semi-Furnished,Yes,No,Yes,No,17665196
310,3428,2,2,3,3,29,Green Park,Semi-Furnished,Yes,No,No,No,20287564
311,4052,4,6,3,0,27,Riverside,Furnished,No,No,No,No,24988601
312,2307,5,6,1,1,14,Riverside,Semi-Furnished,No,No,Yes,Yes,15583204
313,1874,6,6,2,1,24,West End,Unfurnished,Yes,Yes,Yes,Yes,13463226
314,1621,1,2,1,2,22,Riverside,Semi-Furnished,No,No,No,Yes,10707463
315,725,2,3,2,3,5,Hill View,Unfurnished,No,No,Yes,No,6895342
316,4003,6,6,2,0,12,Downtown,Furnished,Yes,Yes,Yes,Yes,26381754
317,3268,4,6,1,0,15,Uptown,Unfurnished,Yes,Yes,Yes,No,21091494
318,3897,3,5,3,2,13,Lake View,Semi-Furnished,No,No,Yes,No,24217222
319,3373,5,6,2,0,0,West End,Unfurnished,No,No,No,Yes,21264739
320,861,3,4,3,2,27,Green Park,Semi-Furnished,No,Yes,Yes,Yes,7740732
321,3899,5,6,3,2,21,Uptown,Unfurnished,Yes,No,No,No,24305697
322,2257,4,6,1,1,10,Riverside,Unfurnished,No,No,No,Yes,15285958
323,4190,5,5,2,0,15,Uptown,Unfurnished,No,Yes,No,Yes,25541049
324,2055,2,4,2,3,25,City Center,Semi-Furnished,No,No,No,Yes,14209393
325,819,6,6,3,0,15,Riverside,Unfurnished,Yes,No,No,No,7685488
326,4166,2,2,1,2,13,East Side,Semi-Furnished,Yes,No,Yes,Yes,24280465
